연도,생산량,소비량
2017,2065.96,2090.518
2018,2251.992,2339.1029999999996
2019,2430.242999999999,2430.139
2020,2528.1669999999995,2442.837
2021,2784.683,2962.1809999999996
2022,3089.143,3003.5049999999997
2023,3429.284,3171.5469999999996
